requirement_ru,stack,skills
"Знание CN (K8S)","k8s",
"микросервисная архитектура",,"микросервисная архитектура"
"Опыт написания ПО на языке Golang не менее года","golang",
"знание архитектурного стиля REST","rest","архитектура"
"понимание событийной архитектуры, работа с очередями Kafka","kafka","событийная архитектура"
"знание основ шифрования (шифрование файлов по ключу шифра)",,"шифрование"
"знание основ SQL, БД Postgre","sql|postgre","базы данных"
"Знание CN (K8S)","k8s",
"микросервисная архитектура",,"микросервисная архитектура|архитектура"
"Опыт в роли React-разработчика от 4 лет","react","разработка ПО"
"TypeScript","typescript",
"Zustand / Redux / Mobx / Effector","zustand|redux|mobx|effector",
"Опыт с Angular","angular",
"Опыт написания юнит и e2e тестов",,"unit testing|e2e testing"
"Знание Docker","docker",
"Опыт работы с Kubernetes","kubernetes",
"Понимание Helm (написание и поддержка чартов)","helm",
"Опыт с GitOps-инструментами (ArgoCD/Flux)","argocd|flux|gitops",
"Навыки работы с CI/CD (GitHub Actions/GitLab CI/Jenkins)","github actions|gitlab ci|jenkins","ci/cd"
"Знание инфраструктуры как код (Terraform/Pulumi)","terraform|pulumi","инфраструктура как код"
"Понимание сетевых моделей Kubernetes (CNI, Ingress, Service Mesh — Istio/Linkerd)","kubernetes|cni|ingress|istio|linkerd",
"Опыт с мониторингом (Prometheus, VictoriaMetrics, Grafana) и логированием (Loki, ELK)","prometheus|victoriametrics|grafana|loki|elk","мониторинг|логирование"
"Опыт с multi-cluster-развертываниями",,"multi-cluster-развертывания"
"Навыки программирования (Python/Go/Bash) для автоматизации","python|go|bash","автоматизация"
"Знание Ansible для автоматизации","ansible","автоматизация"
"Опыт установки и интеграций с on-prem-решениями для хранения данных (Ceph, Longhorn, Rook)","ceph|longhorn|rook","on-prem-решения|хранение данных"
"Опыт в тестировании ПО или в сфере Телекоммуникаций от трёх лет",,"тестирование ПО|телекоммуникации"
"Общее представление о процессе разработки программного обеспечения",,"разработка ПО"
"Опыт анализа логов приложений, дампов сетевого трафика",,"анализ логов|анализ сетевого трафика"
"Уверенное использование ОС Linux (консоль, скрипты, настройка,...)","linux|bash","администрирование Linux"
"Опыт работы DevOps-специалистом (от 3–5 лет)",,"DevOps"
"Опыт базового администрирования Linux (Ubuntu / CentOS / RHEL / Astra Linux)","ubuntu|centos|rhel|astra linux","администрирование Linux"
"Опыт базового администрирования Windows (AD / политики)",,"администрирование Windows|Active Directory|политики"
"Опыт работы с системами виртуализации (Hyper-V, VMWare, другие)","hyper-v|vmware","системы виртуализации"
"Уверенное понимание сетевого стэка (OSI, TCP/IP, VPN, DNS/DHCP/NTP)",,"OSI|TCP/IP|VPN|DNS|DHCP|NTP"
"Уверенно понимание контейнеризации (Docker: образы, контейнеры, сети, инфраструктура)","docker","контейнеризация"
"Базовое понимание Kubernetes","kubernetes",
"Опыт работы с GitLab CI/CD (или аналогами)","gitlab ci/cd",
"Опыт работы с Ansible","ansible",
"Опыт работы с ELK, Prometheus, Grafana или аналогичными стэками","elk|prometheus|grafana",
"Опыт работы с реляционными БД (PostgreSQL и аналоги)","postgresql","реляционные БД"
"Опыт настройки forward-/reverse-proxy (Nginx, HAProxy, traefik, etc)","nginx|haproxy|traefik","forward-proxy|reverse-proxy"
"Уверенное владение Bash",,"bash"
"Git","git",
"Docker","docker",
"REST API","rest api",
"Python","python",
"nginx","nginx",
"NGFW","ngfw",
"Опыт работы тестировании на языке Python от 3х лет.","python","тестирование"
"Опыт автоматизации тестирования backend микросервисов на языке Python (например, с использованием pytest framework, библиотек requests, paramiko);","python|pytest|requests|paramiko","автоматизация тестирования|backend|микросервисы"
"Опыт разработки тестовых фреймворков и инструментов/библиотек для автоматического тестирования;",,"автоматическое тестирование|тестовые фреймворки"
"Знание ОС Linux на продвинутом уровне, владение bash для задач автоматизации тестирования и мониторинга ОС;","linux|bash","автоматизация тестирования|мониторинг"
"Понимание жизненного цикла ПО с упором на обеспечение качества продукта;",,"жизненный цикл ПО|обеспечение качества"
"Опыт анализа требований и написания по ним тестовых сценариев;",,"анализ требований|тестовые сценарии"
"Опыт анализа логов;",,"анализ логов"
"Знание английского на уровне чтения и работы с технической документацией.",,"техническая документация"
"Опыт работы с REST и gRPC протоколами;","rest|grpc",
"Знание Docker","docker",
"Опыт работы с Kubernetes","kubernetes",
"Понимание Helm (написание и поддержка чартов)","helm",
"Опыт с GitOps-инструментами (ArgoCD/Flux)","argocd|flux",
"Навыки работы с CI/CD (GitHub Actions/GitLab CI/Jenkins)","github actions|gitlab ci|jenkins","ci/cd"
"Знание инфраструктуры как код (Terraform/Pulumi)","terraform|pulumi","infrastructure as code"
"Понимание сетевых моделей Kubernetes (CNI, Ingress, Service Mesh - Istio/Linkerd)","kubernetes|cni|ingress|istio|linkerd",
"Опыт с мониторингом (Prometheus, VictoriaMetrics, Grafana) и логированием (Loki, ELK)","prometheus|victoriametrics|grafana|loki|elk","мониторинг|логирование"
"Хороший уровень владения языком программирования Python","python",
"Понимание основ ООП",,"ООП"
"Опыт работы с системами контроля версионности (Git)","git",
"Уверенное знание SQL (join, select, create, update, delete)","sql",
"Опыт тестирования приложений с REST/SOAP архитектурой",,"тестирование|REST|SOAP"
"Понимание JSON, XML",,"json|xml"
"Английский язык, уровень владения: технический (чтение документации, профильных ресурсов)",,"технический английский"
"Опыт коммерческой backend на Go разработки от 3 лет","go","backend"
"Понимание паттернов проектирования ПО, классических алгоритмов и структур данных",,"паттерны проектирования ПО|алгоритмы|структуры данных"
"Опыт работы с gRPC и REST протоколами","grpc|rest",
"Опыт написания многопоточных и/или асинхронных программ",,"многопоточность|асинхронность"
"Знание ОС Linux","linux","ОС Linux"
"Git","git",
"Linux","linux",
"REST","rest",
"gRPC","grpc",
"TCP/IP","tcp/ip",
"Golang","golang",
"Go","go",
"QEMU","qemu",
"LTE","lte",
"D-Bus","d-bus",
"Redfish","redfish",
"systemd","systemd",
"PLDM","pldm",
"MCPT","mcpt",
"ARM","arm",
"x86_64","x86-64",
"RISK-V","risc-v",
"Знание и опыт работы с Astra Linux, RedOS","astra linux|redos",
"Опыт работы с Kubernetes (k8s) и Docker, администрирования k8s-кластеров","kubernetes|docker",
"Опыт поддержки информационных систем и цифровых платформ (уровни L2-L4)",,"поддержка информационных систем|поддержка цифровых платформ"
"Понимание принципов CI/CD",,"ci/cd"
"Опыт выстраивания и поддержки MLOps",,"mlops"
"Опыт взаимодействия с вендорами и интеграторами",,"взаимодействие с вендорами|взаимодействие с интеграторами"
"Опыт построения продакшн моделей ML, умение оценивать качество полученных моделей",,"машинное обучение|ml"
"Опыт работы с сетевой инфраструктурой, такой как межсетевые экраны, DHCP, DNS, NTP, SSL, LDAP",,"сетевая инфраструктура"
"Python","python",
"Jupyter Hub/Lab","jupyter hub|jupyter lab",
"Docker","docker",
"Kubernetes/Openshift","kubernetes|openshift",
"Prometheus","prometheus",
"Grafana","grafana",
"Ceph","ceph",
"MLFlow","mlflow",
"DVC","dvc",
"Airflow","airflow",
"Nvidia GPU Operator","nvidia gpu operator",
"Gitlab","gitlab",
"Nexus","nexus",
"Ansible","ansible",
"Clickhouse","clickhouse",
"Greenplum","greenplum",
"CloudNativePG","cloudnativepg",
"Hive","hive",
"Spark (PySpark)","spark|pyspark",
"Keycloak","keycloak",
"Jira","jira",
"Confluence","confluence",
"Опыт от 1года внедрения 1С:ERP","1с:erp","внедрение"
"Опыт Внедрения 1С:ERP блок Склад в производственных компаниях","1с:erp","внедрение|склад|производство"
"Предпочтительно: машиностроение, металлообработка, ремонтное производство",,"машиностроение|металлообработка|ремонтное производство"
"Опыт от 1года внедрения 1С:ERP","1с:erp","внедрение"
"Опыт внедрения 1С:ERP в производственных компаниях.","1с:erp","внедрение|производственные компании"
"Производственный учет, знания подсистемы производства в ЕРП.","erp","производственный учет|подсистема производства"
"Предпочтительно: машиностроение, металлообработка, ремонтное производство",,"машиностроение|металлообработка|ремонтное производство"
"Опыт от 1 года внедрения 1С:ERP","1с:erp","внедрение"
"Опыт внедрения 1С:ERP в производственных компаниях","1с:erp","внедрение|производство"
"Знания подсистемы производства в ЕРП","erp","производство"
"Предпочтительно: машиностроение, металлообработка, ремонтное производство",,"машиностроение|металлообработка|ремонтное производство"
"Хороший уровень владения языком программирования Python","python",
"Понимание основ ООП",,"ООП"
"Опыт работы с системами контроля версионности (Git)","git",
"Уверенное знание SQL (join, select, create, update, delete)","sql",
"Опыт тестирования приложений с REST/SOAP архитектурой",,"тестирование|rest|soap"
"Понимание JSON, XML","json|xml",
"Опыт ЦФТ: Модуль: Бюджеты АХР и Капитальных затрат (или смежные модули бюджетирования в ЦФТ)","цфт","бюджетирование|АХР|капитальные затраты"
"Проект: Внедрение и настройка модуля Бюджеты АХР и Капитальных затрат",,"внедрение|настройка|бюджетирование|АХР|капитальные затраты"
"Самостоятельное проектирование и внедрение функционала бюджетирования АХР и капитальных затрат без обязательного привлечения отдельного разработчика (на этапе старта).",,"проектирование|внедрение|бюджетирование|АХР|капитальные затраты"
"Реальный опыт внедрения модуля Бюджеты АХР и Капитальных затрат в ЦФТ (не сопровождение, а именно внедрение/настройка).","цфт","внедрение|настройка|бюджетирование|АХР|капитальные затраты"
"Опыт настройки: бюджетных лимитов (год + помесячная детализация), резервирования лимита, списания по кассовому и/или начисленному методу.",,"настройка|бюджетирование|бюджетные лимиты"
"Опыт настройки маршрутов согласования: фиксированные маршруты, условная маршрутизация (сумма, ЦФО, статья и др.), дополнительные согласования.",,"настройка|маршруты согласования"
"Контроль: соответствия договора лимиту, соответствия распоряжения договору, корректировки лимита при отказе платежа.",,"контроль|бюджетирование"
"Опыт интеграции с платежным контуром ЦФТ: выгрузка распоряжений, загрузка статусов оплаты, отражение фактических расходов.","цфт","интеграция|платежный контур"
"Понимание бюджетной модели: ЦФО, иерархия статей, аналитики, аллокация и посталлокация.",,"бюджетная модель|ЦФО|аллокация|посталлокация|аналитика"
"Умение самостоятельно проектировать решение (а не только настраивать по ТЗ).",,"проектирование"
"Уверенное владение Go (Golang) и опыт разработки на нём от 3-х лет, либо уверенное владение другим языком и желание перейти на Go","go|golang",
"Знание микросервисной архитектуры, а также знакомство с протоколами и библиот...",,"микросервисная архитектура"
"Git","git",
"REST","rest",
"SOAP","soap",
"TCP/IP","tcp/ip",
"Python","python",
"Shell","shell",
"BitBucket","bitbucket",
"Golang","golang",
"микросервисная архитектура",,"микросервисная архитектура"
"perl","perl",
"Go","go",
"3GPP",,"3gpp"
"GSM/LTE",,"gsm/lte"
"5G",,"5g"
"EMS",,"ems"
"SNMP",,"snmp"
"NETCONF",,"netconf"
"O-RAN",,"o-ran"
"NMS",,"nms"
"Docker","docker",
"Kubernetes","kubernetes",
"Message Broker","message broker",
"PostgreSQL","postgresql",
"Victoria Metrics","victoria metrics",
"Grafana","grafana",
"Loki","loki",
"Fluentbit","fluentbit",
"open telemetry","open telemetry",
"Prometheus","prometheus",
"etcd","etcd",
"SCRUM",,"scrum"
"Опыт тестирования бэкенда минимум от года",,"тестирование"
"Хорошие знания и навыки работы с Postman (составление тест-кейсов, автоматизация проверок ответов)","postman","тестирование|автоматизация тестирования|тест-кейсы"
"Опыт тестирования веб-проектов минимум от 1 года",,"тестирование"
"Опыт работы с базами данных, SQL-запросы","sql","базы данных"
"Знание теории тестирования — методик, типов, уровней, техник тест-дизайна и умение применять на практике",,"тестирование|методики тестирования|типы тестирования|уровни тестирования|техники тест-дизайна"
"Важен опыт работы с автотестами и интеграциями",,"автотесты|интеграции|тестирование"
"Опыт технического руководства командой разработки включая оценку сложности/трудозатрат, планирование разработки, взаимодействие со смежными командами",,"управление командой разработки|оценка сложности|планирование разработки"
"Уверенное либо профессиональное владение Go (Golang) - от ...","go|golang",
"Git","git",
"SQL","sql",
"Docker","docker",
"REST","rest",
"SOAP","soap",
"Jira","jira",
"Kubernetes","kubernetes",
"TCP/IP","tcp/ip",
"Python","python",
"Mesos","mesos",
"Shell","shell",
"BitBucket","bitbucket",
"Golang","golang",
"микросервисная архитектура",,"микросервисная архитектура"
"perl","perl",
"NoSQL","nosql",
"Go","go",
"3GPP",,"3gpp"
"Digital2Go",,"digital2go"
"EMS",,"ems"
"SNMP",,"snmp"
"NETCONF",,"netconf"
"O-RAN",,"o-ran"
"NMS",,"nms"
"nomad","nomad",
"PostgreSQL","postgresql",
"Victoria Metrics","victoria metrics",
"Grafana","grafana",
"Loki","loki",
"Fluentbit","fluentbit",
"open telemetry","open telemetry",
"Prometheus","prometheus",
"etcd","etcd",
"SCRUM",,"scrum"
"2-х недельные спринты",,"спринты"
"Опыт коммерческой разработки на C# / .NET (Core) от 3 лет.","c#|.net|.net core","коммерческая разработка"
"Уверенное знание и применение принципов SOLID.",,"SOLID"
"Опыт применения шаблонов проектирования (в том числе архитектурных и интеграционных).",,"шаблоны проектирования|архитектурные шаблоны|интеграционные шаблоны"
"Глубокие знания и опыт работы с SQL.","sql",
"Опыт работы с брокерами сообщений (Kafka / RabbitMQ).","kafka|rabbitmq","брокеры сообщений"
"Понимание принципов многопоточного и асинхронного взаимодействия.",,"многопоточное взаимодействие|асинхронное взаимодействие"
"Опыт работы в команде по методологии Agile/Scrum.",,"Agile|Scrum|командная работа"
"Опыт работы с Javascript / Node-RED.","javascript|node-red",
"Опыт работы с MongoDB.","mongodb",
"Опыт работы в телекоммуникационной отрасли или с B2B-системами.",,"телекоммуникации|B2B-системы"
"Знакомство с BPM-платформами (в частности, Elma 365) и принципами их интеграции.","elma 365","BPM-платформы|интеграция BPM"
"Опыт работы системным аналитиком от 4 лет",,"системный анализ"
"Сбор и формализация требований (интервью, воркшопы, user stories, use cases)",,"сбор требований|формализация требований|user stories|use cases"
"Управление требованиями: приоритизация, декомпозиция, контроль исполнения, трассируемость (RTM)",,"управление требованиями|приоритизация требований|декомпозиция требований|контроль исполнения требований|трассируемость требований (RTM)"
"Документация по ГОСТ (ТЗ, ЧТЗ, ПМИ, эксплуатационная документация)",,"ГОСТ|ТЗ|ЧТЗ|ПМИ|эксплуатационная документация"
"Моделирование процессов и систем: BPMN 2.0, UML (Use Case, Activity, Sequence)","bpmn 2.0|uml","моделирование процессов|моделирование систем"
"SQL (умение писать запросы для проверки витрин и выгрузок)","sql",
"Опыт взаимодействия с разработчиками backend, frontend",,"взаимодействие с разработчиками"
"Базовое понимание работы PostgreSQL, Kafka, Auth0, oidc","postgresql|kafka|auth0|oidc",
"Внимательность к деталям, структурность, системное мышление",,"системное мышление"
"Навык работы с госзаказчиком, умение выдерживать формальные процедуры",,"госзаказчик|формальные процедуры"
"Опыт в медицине/здравоохранении и госзаказе",,"медицина|здравоохранение|госзаказ"
"Знание отраслевых классификаторов (реестры, стандарты Минздрава)",,"отраслевые классификаторы|реестры|стандарты Минздрава"
"Опыт участия в экспертизе/защите ТЗ, ПМИ",,"экспертиза ТЗ|защита ТЗ|экспертиза ПМИ|защита ПМИ"
"Опыт в сетевых компонентах - ОБЯЗАТЕЛЕН",,"сетевые компоненты"
"Опыт разработки на Python с использованием Pytest от 2х лет","python|pytest",
"Владение Linux на уверенном пользовательском уровне",,"linux"
"Общее представление о стеке технологий BigData.","bigdata",
"Понимать различия работы между BigData и с данными обычного размера.","bigdata",
"Знание SQL (индексы, функции, умение писать не сложные запросы).","sql",
"Опыт работы с любой реляционной БД (Oracle, Postgres, MySQL, MsSQL, DB2 и т.п.).","oracle|postgres|mysql|ms sql|db2",
"Умение работать с Git (знание команд git pull/commit/push).","git",
"Опыт работы с любым графическим ETL инструментом (Apache Nifi, Airflow, Talend, Informatica, SAS и т.п.).","apache nifi|airflow|talend|informatica|sas",
"Представление о работе с Hadoop.","hadoop",
"Понимание устройства HDFS, форматов данных.","hdfs",
"Понимание работы с Hive или любого другого хранилища на основе Hadoop.","hive|hadoop",
"Опыт использования системами ведения проектов и документации.",,"управление проектами|документация"
"Знания основ программирования (JAVA, Groovy, Python).","java|groovy|python",
"Опыт с low-code / BPM-платформами (Camunda, Appian, Elma 365)","camunda|appius|elma 365","low-code|BPM-платформы"
"Моделирование бизнес-процессов в BPMN 2.0",,"моделирование бизнес-процессов|bpmn 2.0"
"Опыт работы в Agile/Scrum",,"agile|scrum"
"Системное мышление",,"системное мышление"
"JavaScript / TypeScript (от 3х лет)","javascript|typescript",
"Коммерческий опыт на Elma 365 (разработка и администрирование)","elma 365","разработка|администрирование"
"Понимание архитектуры Elma 365","elma 365","архитектура"
"Интеграции через REST/веб-сервисы",,"интеграции|rest|веб-сервисы"
"C# / .NET для расширений","c#|.net","расширения"
"Опыт в телекоме или B2B-продажах",,"телеком|b2b-продажи"
"Микросервисы, Kafka/RabbitMQ, MongoDB","kafka|rabbitmq|mongodb","микросервисы"
"SQL","sql",
"MongoDB","mongodb",
"C# / .NET","c#|.net",
"GraphQL","graphql",
"брокеры сообщений",,"брокеры сообщений"
"Опыт работы с Git","git",
"Опыт работы с Linux","linux",
"Опыт работы с Jira","jira",
"Опыт работы с TCP/IP","tcp/ip",
"Опыт работы с Python","python",
"Опыт работы с Shell","shell",
"Опыт работы с BitBucket","bitbucket",
"Опыт работы с perl","perl",
"Опыт работы с agile scrum",,"agile|scrum"
"Опыт Unit-тестирования",,"unit-тестирование"
"Знание С++ 17","c++",
"Опыт работы с высоконагруженными системами",,"высоконагруженные системы"
"Знание 3GPP",,"3gpp"
"Знание GSM/LTE",,"gsm|lte"
"Знание LTE",,"lte"
"Знание 5G",,"5g"
"Знание UPD",,"upd"
"Знание LTE-Advanced",,"lte-advanced"
"Linux","linux",
"Prometheus","prometheus",
"Python","python",
"Bash","bash",
"Ansible","ansible",
"C++","c++",
"SRE",,"sre"
"VictoriaMetrics","victoriametrics",
"ClickHouse","clickhouse",
"C","c",
"GNU","gnu",
"CMake","cmake",
"GCC","gcc",
"Tarantool","tarantool",
"Bazel","bazel",
"PyTest","pytest",
"clang","clang",
"модель OSI",,"модель OSI"
"Autotools","autotools",
"Развитие платформы обеспечивающей middleware services, high avaliability, node management и delivery для приложений в составе базовой станции LTE/GSM","middleware|node management|lte|gsm",
"Анализ требований и технических решений с точки зрения тестирования",,"тестирование|анализ требований"
"Подготовка тестовой стратегии, разработка тестовых планов и тестов на новую функциональность",,"тестирование|разработка тестовых планов|тестовая стратегия"
"Непрерывное совершенствование QA процессов, взаимодействие с кросс-продуктовыми командами для оптимизации интеграционного тестирования платформенных компонент",,"qa|тестирование|интеграционное тестирование"
"Тестирование API по взаимодействию с аппаратным обеспечением и операционной системой для конфигурации и управлению инфраструктурой","api","тестирование|управление инфраструктурой"
"Ручное тестирование сценариев",,"тестирование"
"Анализ результатов тестирования и создание отчетов об ошибках",,"тестирование|анализ результатов"
"Git","git",
"Linux","linux",
"REST","rest",
"Jira","jira",
"gRPC","grpc",
"Python","python",
"BitBucket","bitbucket",
"requests","requests",
"PyTest","pytest",
"GSM/LTE","gsm|lte",
"paramiko","paramiko",
"Опыт написания ПО на языке Golang не менее года","golang",
"Знание архитектурного стиля REST",,"REST"
"Понимание событийной архитектуры, работа с очередями Kafka","kafka","событийная архитектура"
"Знание основ шифрования (шифрование файлов по ключу шифра)",,"шифрование"
"Знание основ SQL, БД PostgreSQL","postgresql|sql",
"Знание CN (K8S)","kubernetes",
"Работа с микросервисной архитектурой",,"микросервисная архитектура"
"Опыт написания ПО на языке Golang не менее 3х лет","golang",
"Знание архитектурного стиля REST",,"REST"
"Понимание событийной архитектуры, работа с очередями Kafka","kafka","событийная архитектура"
"Знание основ шифрования (шифрование файлов по ключу шифра)",,"шифрование"
"Знание основ SQL, БД PostgreSQL","sql|postgresql",
"Работа по Agile методологиям (Scrum)",,"Agile|Scrum"
"Знание Kubernetes (K8S)","kubernetes",
"Декомпозирует и оценивает задачи",,"декомпозиция задач|оценка задач"
"Работа в микросервисной архитектуре",,"микросервисная архитектура"
"Опыт работы с low-code / BPM-платформами (Camunda, Appian и т.д.).","camunda|appius","bpm"
"Опыт моделирования и реализации сложных бизнес-процессов в BPMN 2 внутри платформы.",,"bpmn|бизнес-процессы"
"Опыт разработки на Typescript /Javascript от 3х лет","typescript|javascript",
"Понимание принципов баз данных, опыт написания SQL-запросов.","sql","базы данных"
"Опыт работы в команде по методологии Agile/Scrum.",,"agile|scrum"
"Системное мышление и умение решать комплексные бизнес-задачи.",,"бизнес-задачи"
"Опыт коммерческой разработки и администрирования на платформе Elma 365","elma 365","разработка|администрирование"
"Глубокое понимание внутренней архитектуры и возможностей Elma 365","elma 365","архитектура"
"Практический опыт интеграции Elma 365 с внешними системами (REST API, веб-сервисы).","rest api|web-сервисы|elma 365","интеграция"
"Базовые знания C# и .NET для разработки custom-блоков и расширений в Elma 365","c#|.net|elma 365","разработка"
"Опыт в телекоммуникационной отрасли и/или в сегменте B2B-продаж.",,"телекоммуникации|b2b-продажи"
"Понимание принципов микросервисной архитектуры.",,"микросервисная архитектура"
"Знакомство с брокерами сообщений (Kafka, RabbitMQ).","kafka|rabbitmq",
"Опыт работы с MongoDB.","mongodb",
"Глубокое понимание DOM, JS, CSSOM","js|css",
"Опыт создания рекламных баннеров, виджетов или др встраиваемых компонентов на JS, React или Web Components","js|react|web components",
"Опыт коммерческой разработки на React от 2-х лет","react",
"Глубокое понимание основных концепций React: JSX, Virtual DOM, компоненты (функциональные и классовые), хуки (Hooks), состояние (State) и пропсы (Props)","react",
"Опыт работы с менеджером состояний: Redux (классический или Toolkit) / MobX / Zustand","redux|mobx|zustand",
"Свободное владение современным JavaScript (ES6+): Стрелочные функции, промисы, async/await. Деструктуризация, шаблонные строки, модули.","javascript|es6",
"Опыт работы с TypeScript","typescript",
"Знание HTML5 и CSS3 (Flexbox, Grid, адаптивная и кроссбраузерная верстка)","html5|css3",
"Умение работать с REST API и/или GraphQL","rest api|graphql",
"Опыт использования систем контроля версий (Git)","git",
"Опыт работы с фреймворками для работы с формами: Formik, React Hook Form","formik|react hook form",
"Знание библиотек для тестирования: Jest, React Testing Library, Cypress","jest|react testing library|cypress",
"Опыт с CSS-in-JS (Styled Components, Emotion) или CSS-препроцессорами (SASS/SCSS)","styled components|emotion|sas|scss",
"Опыт работы с UI-библиотеками: Material-UI, Ant Design, Chakra UI и др.","material-ui|ant design|chakra ui",
"Знание современных инструментов сборки: Webpack, Vite","webpack|vite",
"Понимание принципов SSR (Server-Side Rendering) и опыт работы с Next.js","next.js",
"Базовые знания бэкенда (Node.js, Express)","node.js|express",
"Анализ и декомпозиция верхнеуровневых требований по личному кабинету мерчанта",,"анализ требований|декомпозиция требований"
"Согласование декомпозированных требований с заказчиком по личному кабинету мерчанта",,"согласование требований"
"Взаимодействие с дизайнером по подготовке макетов, участие в согласовании макетов перед заказчиком",,"дизайн|согласование макетов"
"Подготовка постановок по ЛК Мерчанта для разработки (требования в Конфлюенса, задачи в Жире), наполнение бэклога","confluence|jira","постановка задач|наполнение бэклога"
"Участие в мероприятиях по планированию спринта, приоритезации задач, демонстрации результата спринта заказчику",,"Agile|Scrum|планирование спринта|приоритезация задач|демонстрация результата"
"Обработка поступающих доп. требований по ЛК Мерчанта (документация, комментарии к макетам, чаты с заказчиком)",,"анализ требований|документация"
"Описание работы системы, подготовка пользовательской документации",,"описание системы|пользовательская документация"
"Linux","linux",
"REST","rest",
"Jira","jira",
"TCP/IP","tcp/ip",
"STL","stl",
"BitBucket","bitbucket",
"Gitlab","gitlab",
"Boost","boost",
"WebAPI","webapi",
"C++ 17","c++17",
"POSIX API","posix api",
"LTE","lte",
"i2c","i2c",
"PLDM","pldm",
"MCPT","mcpt",
"ARM","arm",
"DMTF","dmtf",
"х-86","x-86",
"API POSIX","api posix",
"PCIe","pcie",
"Практический опыт работы с микросервисной архитектурой",,"микросервисная архитектура"
"Коммерческая разработка на Go (Golang) от 3 лет и более","go|golang",
"Понимание принципов построения и использования REST-сервисов",,"rest"
"Знание подходов событийной модели взаимодействия сервисов, опыт работы с брокерами сообщений (в частности, Kafka)","kafka","событийная модель"
"Базовые знания криптографии, включая реализацию шифрования файлов с применением ключей",,"криптография|шифрование"
"Уверенное владение SQL и опыт работы с базами данных PostgreSQL","sql|postgresql",
"Работа в гибких методологиях разработки (Scrum)",,"гибкие методологии|scrum"
"Опыт использования контейнерных и оркестрационных решений (Kubernetes)","kubernetes","контейнеризация|оркестрация"
"Навык декомпозиции задач и предварительной оценки сроков выполнения",,"декомпозиция задач|оценка сроков"
"SQL-запросы","sql",
"agile",,"agile"
"очереди сообщений",,"очереди сообщений"
"реляционные СУБД",,"реляционные СУБД"
"json/xml","json|xml",
"REST-сервисы",,"REST-сервисы"
"web сервисы",,"web сервисы"
"Опыт профилирования Java-приложений от 5-и лет","java","профилирование"
"Понимание внутреннего устройства Spring Framework","spring framework",
"Умение проектировать масштабируемые системы (микросервисы, монолиты, серверless)",,"проектирование|микросервисы|монолиты|serverless"
"Знание архитектурных паттернов: Clean Architecture, DDD, CQRS, Event Sourcing",,"clean architecture|ddd|cqrs|event sourcing|архитектурные паттерны"
"Работа с REST/gRPC API, GraphQL","rest|grpc|graphql","api"
"Работа с kubernetes (k8s)","kubernetes|k8s",
"Уверенные знания .NET и C#",".net|c#",
"Основы и опыт JavaScript, TypeScript","javascript|typescript",
"Участие в коммерческой разработке React, Angular","react|angular",
"Хорошие знания работы ORM (оптимизации, расширенный инструментарий, анализ), работа с разными СУБД","orm","работа с СУБД"
"Теория БД, умение спроектировать БД под сложные задачи с учетом будущих требований",,"проектирование БД"
"Хороший опыт SQL (сложные запросы, понимание применения индексов, понимание кейсов под оптимизации), знания особенностей под разные СУБД","sql","работа с СУБД"
"Опыт работы с брокерами сообщений",,"брокеры сообщений"
"Рефакторинг кода, умение читать чужой код",,"рефакторинг кода|код-ревью"
"Знание паттернов проектирования, микросервисной архитектуры",,"паттерны проектирования|микросервисная архитектура"
"Знание программного обеспечения и принцип работы API (SOAP, REST)","soap|rest","api"
"Понимание подходов для интеграции приложений",,"интеграция приложений"
"Умение проводить системный анализ",,"системный анализ"
"Знание английского, уровень достаточный для чтения технической документации",,"чтение технической документации"
"SQL-запросы","sql",
"agile",,"agile"
"очереди сообщений",,"очереди сообщений"
"реляционные СУБД",,"реляционные СУБД"
"json/xml","json|xml",
"REST-сервисы",,"REST-сервисы"
"web сервисы",,"web сервисы"
"Опыт проектирования СКС (стадии П/Р)",,"проектирование СКС"
"Разработка планов размещения оборудования (здания, генплан)",,"размещение оборудования"
"Выполнение схем СКС: структурных, функциональных, соединений, физических (порты)",,"схемы СКС"
"Подготовка чертежей установки оборудования, кабельных конструкций и трасс",,"установка оборудования|кабельные конструкции"
"Составление спецификаций и кабельных журналов, проработка магистральных линий связи",,"спецификации|кабельные журналы|магистральные линии связи"
"Разработка документации для СМР и ПНР (программы, персонал, испытания)",,"документация СМР|документация ПНР"
"Подготовка ЭТД и программ обучения персонала Заказчика",,"ЭТД|обучение персонала"
"Владение AutoCAD, знание ГОСТ/СП по СКС","autocad","ГОСТ|СП|СКС"
"Опыт тестирования от 4 лет, автоматизации от 2 лет (Python, опционально Java)","python|java","тестирование|автоматизация тестирования"
"Опыт организации процесса тестирования и встраивания его в процесс разработки",,"тестирование|управление тестированием"
"Написание автотестов для API",,"автоматизация тестирования|api тестирование"
"Опыт тестирования БД и написания автотестов с использованием SQL","sql","тестирование БД|автоматизация тестирования"
